# time,X,Y,Z,id,intensity,distance
118820174,0.342068,0.391775,-0.058760,8,3,0.524
118820229,0.343399,0.390608,-0.058760,8,3,0.524
118820284,0.344749,0.389417,-0.058760,8,3,0.524
118821842,0.371983,0.344943,-0.024387,12,3,0.508
118821952,0.374382,0.342338,-0.024387,12,3,0.508
118822007,0.375575,0.341029,-0.024387,12,3,0.508
118822173,0.379067,0.337143,-0.024387,12,3,0.508
118822609,0.398983,0.335819,0.075997,9,1,0.528
118822669,0.387216,0.323483,0.089976,11,2,0.514
118822719,0.401387,0.332942,0.075997,9,1,0.528
118822775,0.402546,0.331539,0.075997,9,1,0.528
118822830,0.403701,0.330132,0.075997,9,1,0.528
118822885,0.404851,0.328720,0.075997,9,1,0.528
118822887,0.406839,0.330236,-0.042144,10,4,0.526
118822996,0.407136,0.325886,0.075997,9,1,0.528
118823051,0.408271,0.324463,0.075997,9,1,0.528
118823106,0.409401,0.323036,0.075997,9,1,0.528
118823226,0.412435,0.320398,0.110874,13,2,0.536
118823337,0.414662,0.317511,0.110874,13,2,0.536
118823613,0.420165,0.310192,0.110874,13,2,0.536
118823890,0.425519,0.302806,0.110874,13,2,0.536
118824005,0.422529,0.295844,0.127009,15,2,0.534
118824061,0.423372,0.294635,0.127009,15,2,0.534
118824227,0.426517,0.290065,0.127009,15,2,0.534
118824275,0.420376,0.283974,-0.024387,12,3,0.508
118824282,0.427546,0.288546,0.127009,15,2,0.534
118824338,0.428550,0.287052,0.127009,15,2,0.534
118824552,0.425256,0.276613,-0.024387,12,3,0.508
118824607,0.426207,0.275145,-0.024387,12,3,0.508
118824662,0.427117,0.273731,-0.024387,12,3,0.508
118824725,0.435369,0.276600,0.127009,15,2,0.534
118824773,0.429065,0.270667,-0.024387,12,3,0.508
118824780,0.436380,0.275003,0.127009,15,2,0.534
118824939,0.431887,0.266140,-0.024387,12,3,0.508
118824994,0.432790,0.264669,-0.024387,12,3,0.508
118825049,0.433689,0.263195,-0.024387,12,3,0.508
118825492,0.440879,0.250963,-0.024387,12,3,0.508
118825713,0.444340,0.244783,-0.024387,12,3,0.508
118825934,0.447715,0.238556,-0.024387,12,3,0.508
118825989,0.448545,0.236991,-0.024387,12,3,0.508
118826045,0.449379,0.235404,-0.024387,12,3,0.508
118826100,0.450219,0.233795,-0.024387,12,3,0.508
118826155,0.451042,0.232202,-0.024387,12,3,0.508
118826211,0.451850,0.230627,-0.024387,12,3,0.508
118826266,0.452632,0.229087,-0.024387,12,3,0.508
118826321,0.453390,0.227585,-0.024387,12,3,0.508
118826648,0.473152,0.225171,-0.042144,10,4,0.526
118826759,0.474646,0.222004,-0.042144,10,4,0.526
118826869,0.476184,0.218685,-0.042144,10,4,0.526
118827088,0.476875,0.211073,0.075997,9,1,0.528
118827531,0.482583,0.197676,0.075997,9,1,0.528
118827648,0.470810,0.188931,-0.024387,12,3,0.508
118827697,0.484565,0.192765,0.075997,9,1,0.528
118827703,0.471459,0.187307,-0.024387,12,3,0.508
118827759,0.472126,0.185619,-0.024387,12,3,0.508
118827807,0.485926,0.189308,0.075997,9,1,0.528
118827814,0.472779,0.183949,-0.024387,12,3,0.508
118827862,0.486584,0.187611,0.075997,9,1,0.528
118827869,0.473418,0.182297,-0.024387,12,3,0.508
118827973,0.487882,0.184209,0.075997,9,1,0.528
118827980,0.474679,0.178988,-0.024387,12,3,0.508
118828084,0.489146,0.180825,0.075997,9,1,0.528
118828249,0.491022,0.175666,0.075997,9,1,0.528
118828362,0.494621,0.172988,-0.042144,10,4,0.526
118828471,0.493422,0.168810,0.075997,9,1,0.528
118828528,0.496384,0.167860,-0.042144,10,4,0.526
118828581,0.494565,0.165431,0.075997,9,1,0.528
118828636,0.495139,0.163704,0.075997,9,1,0.528
118828692,0.495702,0.161991,0.075997,9,1,0.528
118828747,0.496251,0.160303,0.075997,9,1,0.528
118828802,0.496804,0.158580,0.075997,9,1,0.528
118828858,0.497368,0.156802,0.075997,9,1,0.528
118828869,0.478810,0.150559,-0.008061,14,3,0.502
118828913,0.497921,0.155037,0.075997,9,1,0.528
118828968,0.475802,0.146330,0.072243,9,1,0.504
118829014,0.478421,0.145614,0.040052,5,4,0.502
118829019,0.510897,0.155336,0.060466,7,10,0.538
118829074,0.515239,0.154693,0.060953,7,10,0.542
118829086,0.484070,0.144952,-0.024282,12,22,0.506
118829130,0.492937,0.146124,0.058028,7,11,0.518
118829139,0.485715,0.143676,0.090357,11,2,0.516
118829185,0.476297,0.139384,0.055835,7,22,0.500
118829189,0.483486,0.141336,0.073182,9,4,0.510
118829194,0.482445,0.140879,0.089594,11,2,0.512
118829201,0.491462,0.143279,-0.008236,14,31,0.512
118829236,0.480407,0.138920,0.040052,5,9,0.502
118829252,0.481723,0.138769,-0.024073,12,32,0.502
118829256,0.480429,0.138245,-0.008026,14,32,0.500
118829295,0.482986,0.137688,0.056566,7,33,0.506
118829305,0.479640,0.136433,0.088831,11,2,0.508
118829307,0.486047,0.138179,-0.024282,12,29,0.506
118829360,0.476327,0.133716,0.088068,11,2,0.504
118829362,0.486520,0.136503,-0.024282,12,29,0.506
118829411,0.477782,0.132518,0.071930,9,3,0.502
118829422,0.489541,0.135405,-0.008166,14,24,0.508
118829461,0.492036,0.134806,0.057541,7,22,0.514
118829470,0.473444,0.129416,0.087304,11,2,0.500
118829477,0.490006,0.133714,-0.008166,14,24,0.508
118829512,0.482736,0.130599,0.040052,5,4,0.502
118829517,0.481006,0.129980,0.056078,7,11,0.502
118829528,0.482120,0.129905,-0.023968,12,27,0.500
118829533,0.486608,0.130963,-0.008096,14,24,0.504
118829572,0.481456,0.128301,0.056078,7,11,0.502
118829581,0.489515,0.130143,0.090357,11,5,0.516
118829583,0.482571,0.128222,-0.023968,12,27,0.500
118829588,0.487062,0.129264,-0.008096,14,24,0.504
118829627,0.485741,0.127628,0.056566,7,11,0.506
118829639,0.486879,0.127549,-0.024177,12,26,0.504
118829682,0.482340,0.124936,0.056078,7,11,0.502
118829699,0.491825,0.126859,-0.008166,14,24,0.508
118829752,0.506144,0.128748,0.110874,13,2,0.536
118829754,0.492265,0.125141,-0.008166,14,24,0.508
118829793,0.494751,0.124472,0.057541,7,11,0.514
118829807,0.506590,0.126980,0.110874,13,2,0.536
118829858,0.499335,0.123465,0.091884,11,7,0.524
118829904,0.499465,0.121957,0.058028,7,11,0.518
118829920,0.485776,0.118090,-0.008026,14,25,0.500
118829959,0.496028,0.119284,0.057541,7,11,0.514
118830125,0.493380,0.113195,0.057053,7,11,0.510
118830180,0.501517,0.113221,0.058028,7,11,0.518
118830457,0.487868,0.101225,0.056078,7,11,0.502
118831415,0.510434,0.074237,0.127009,15,2,0.534
118831526,0.510960,0.070527,0.127009,15,2,0.534
118835055,0.504682,-0.043104,0.090357,11,2,0.516
118835110,0.586663,-0.052145,0.106385,11,2,0.600
118835119,0.552236,-0.049401,0.137362,15,2,0.574
118835161,0.542910,-0.049964,0.079752,9,1,0.552
118835166,0.561068,-0.051796,0.101424,11,2,0.574
118835170,0.520037,-0.048157,0.110874,13,2,0.536
118835175,0.563606,-0.052352,0.140468,15,2,0.586
118835216,0.542735,-0.051829,0.079752,9,1,0.552
118835221,0.545252,-0.052230,0.098371,11,2,0.558
118835225,0.519868,-0.049951,0.110874,13,2,0.536
118835230,0.551884,-0.053189,0.137362,15,2,0.574
118835271,0.574003,-0.056838,0.084758,9,1,0.584
118835276,0.576325,-0.057237,0.104477,11,2,0.590
118835285,0.628587,-0.062797,0.158068,15,2,0.654
118835327,0.538430,-0.055214,0.079126,9,1,0.548
118835331,0.611275,-0.062864,0.111346,11,2,0.626
118835341,0.678325,-0.070158,0.171526,15,1,0.706
118835382,0.557877,-0.059177,0.082255,9,1,0.568
118835387,0.626669,-0.066658,0.114399,11,2,0.642
